CRN,M Start Time,M End Time,T Start Time,T End Time,W Start Time,W End Time,R Start Time,R End Time,F Start Time,F End Time,Course Code
12508,660,710,,,660,710,,,660,710,ARE 100B
12509,1090,1140,,,,,,,,,ARE 100B
12509,660,710,,,660,710,,,660,710,ARE 100B
12510,1090,1140,,,,,,,,,ARE 100B
12510,660,710,,,660,710,,,660,710,ARE 100B
12511,1150,1200,,,,,,,,,ARE 100B
12511,660,710,,,660,710,,,660,710,ARE 100B
12512,660,710,,,660,710,,,660,710,ARE 100B
12512,,,,,1090,1140,,,,,ARE 100B
12513,,,,,1150,1200,,,,,ARE 100B
12513,660,710,,,660,710,,,660,710,ARE 100B
45381,,,,,1030,1080,,,,,ARE 100B
45381,660,710,,,660,710,,,660,710,ARE 100B
45382,660,710,,,660,710,,,660,710,ARE 100B
45382,,,,,1090,1140,,,,,ARE 100B
12518,,,540,620,,,540,620,,,ARE 106
12518,,,1090,1140,,,,,,,ARE 106
12519,,,1150,1200,,,,,,,ARE 106
12519,,,540,620,,,540,620,,,ARE 106
12520,,,540,620,,,540,620,,,ARE 106
12520,,,1090,1140,,,,,,,ARE 106
12521,,,540,620,,,540,620,,,ARE 106
12521,,,1150,1200,,,,,,,ARE 106
44377,,,540,620,,,540,620,,,ARE 106
44377,,,,,1030,1080,,,,,ARE 106
44378,,,540,620,,,540,620,,,ARE 106
44378,,,,,1090,1140,,,,,ARE 106
12522,,,820,900,,,820,900,,,ARE 107
12522,,,1030,1080,,,,,,,ARE 107
12523,,,1090,1140,,,,,,,ARE 107
12523,,,820,900,,,820,900,,,ARE 107
12524,,,820,900,,,820,900,,,ARE 107
12524,,,,,1030,1080,,,,,ARE 107
12525,,,,,1090,1140,,,,,ARE 107
12525,,,820,900,,,820,900,,,ARE 107
12526,970,1080,,,970,1080,,,,,ARE 112
12527,730,840,,,730,840,,,,,ARE 113
12528,,,820,900,,,820,900,,,ARE 115A
12528,,,1030,1080,,,,,,,ARE 115A
12529,,,1090,1140,,,,,,,ARE 115A
12529,,,820,900,,,820,900,,,ARE 115A
12530,,,820,900,,,820,900,,,ARE 115A
12530,,,1090,1140,,,,,,,ARE 115A
12531,,,820,900,,,820,900,,,ARE 115A
12531,,,1150,1200,,,,,,,ARE 115A
12532,,,820,900,,,820,900,,,ARE 115A
12532,,,,,1030,1080,,,,,ARE 115A
12533,,,820,900,,,820,900,,,ARE 115A
12533,,,,,1090,1140,,,,,ARE 115A
12534,,,820,900,,,820,900,,,ARE 115A
12534,,,,,1090,1140,,,,,ARE 115A
12535,,,820,900,,,820,900,,,ARE 115A
12535,,,,,1150,1200,,,,,ARE 115A
12536,1030,1080,,,,,,,,,ARE 121
12536,600,650,,,600,650,,,600,650,ARE 121
12537,600,650,,,600,650,,,600,650,ARE 121
12537,1090,1140,,,,,,,,,ARE 121
12538,,,730,840,,,730,840,,,ARE 132
12539,,,910,990,,,910,990,,,ARE 136
12539,,,,,,,1030,1080,,,ARE 136
12540,,,910,990,,,910,990,,,ARE 136
12540,,,,,,,1090,1140,,,ARE 136
12544,,,1090,1200,,,1090,1200,,,ARE 145
44379,,,1030,1080,,,,,,,ARE 146
44379,,,630,710,,,630,710,,,ARE 146
44380,,,630,710,,,630,710,,,ARE 146
